date,home_team,score,away_team
27-10-2021,Vallecano,1 - 0,Barcelona
30-10-2021,Barcelona,1 - 1,Alaves
06-11-2021,Celta,3 - 3,Barcelona
20-11-2021,Barcelona,1 - 0,Espanol
27-11-2021,Villarreal,1 - 3,Barcelona
04-12-2021,Barcelona,0 - 1,Betis
12-12-2021,Osasuna,2 - 2,Barcelona
18-12-2021,Barcelona,3 - 2,Elche
21-12-2021,Sevilla,1 - 1,Barcelona
02-01-2022,Mallorca,0 - 1,Barcelona
08-01-2022,Granada,1 - 1,Barcelona
23-01-2022,Alaves,0 - 1,Barcelona
06-02-2022,Barcelona,4 - 2,Ath Madrid
13-02-2022,Espanol,2 - 2,Barcelona
20-02-2022,Valencia,1 - 4,Barcelona
27-02-2022,Barcelona,4 - 0,Ath Bilbao
06-03-2022,Elche,1 - 2,Barcelona
13-03-2022,Barcelona,4 - 0,Osasuna
20-03-2022,Real Madrid,0 - 4,Barcelona
03-04-2022,Barcelona,1 - 0,Sevilla
10-04-2022,Levante,2 - 3,Barcelona
18-04-2022,Barcelona,0 - 1,Cadiz
21-04-2022,Sociedad,0 - 1,Barcelona
24-04-2022,Barcelona,0 - 1,Vallecano
01-05-2022,Barcelona,2 - 1,Mallorca
07-05-2022,Betis,1 - 2,Barcelona
10-05-2022,Barcelona,3 - 1,Celta
15-05-2022,Getafe,0 - 0,Barcelona
22-05-2022,Barcelona,0 - 2,Villarreal
14-08-2021,Mallorca,1 - 1,Betis
20-08-2021,Betis,1 - 1,Cadiz
28-08-2021,Betis,0 - 1,Real Madrid
13-09-2021,Granada,1 - 2,Betis
19-09-2021,Betis,2 - 2,Espanol
23-09-2021,Osasuna,1 - 3,Betis
26-09-2021,Betis,2 - 0,Getafe
03-10-2021,Villarreal,2 - 0,Betis
18-10-2021,Alaves,0 - 1,Betis
24-10-2021,Betis,3 - 2,Vallecano
27-10-2021,Betis,4 - 1,Valencia
31-10-2021,Ath Madrid,3 - 0,Betis
07-11-2021,Betis,0 - 2,Sevilla
21-11-2021,Elche,0 - 3,Betis
28-11-2021,Betis,3 - 1,Levante
04-12-2021,Barcelona,0 - 1,Betis
12-12-2021,Betis,4 - 0,Sociedad
19-12-2021,Ath Bilbao,3 - 2,Betis
02-01-2022,Betis,0 - 2,Celta
09-01-2022,Vallecano,1 - 1,Betis
18-01-2022,Betis,4 - 0,Alaves
21-01-2022,Espanol,1 - 4,Betis
06-02-2022,Betis,0 - 2,Villarreal
13-02-2022,Levante,2 - 4,Betis
20-02-2022,Betis,2 - 1,Mallorca
27-02-2022,Sevilla,2 - 1,Betis
06-03-2022,Betis,1 - 3,Ath Madrid
13-03-2022,Betis,1 - 0,Ath Bilbao
20-03-2022,Celta,0 - 0,Betis
03-04-2022,Betis,4 - 1,Osasuna
09-04-2022,Cadiz,1 - 2,Betis
15-04-2022,Sociedad,0 - 0,Betis
19-04-2022,Betis,0 - 1,Elche
02-05-2022,Getafe,0 - 0,Betis
07-05-2022,Betis,1 - 2,Barcelona
10-05-2022,Valencia,0 - 3,Betis
